N, K0, Re, CFL, VISC, STEPS, PALIN, SIG, TIME, MINUTES, FPS
256, 10, 5.1769e+03, 0.1, 1.9317e-04, 50000, 52, 17, 1.13e+01, 0.61, 1359.6
256, 20, 4.4831e+03, 0.1, 2.2306e-04, 50000, 44, 23, 1.33e+01, 0.60, 1393.8
384, 10, 6.0572e+03, 0.1, 1.6509e-04, 50000, 49, 19, 7.35e+00, 0.68, 1224.7
384, 20, 5.2664e+03, 0.1, 1.8988e-04, 50000, 48, 20, 7.65e+00, 0.70, 1192.9
512, 10, 1.0417e+04, 0.1, 9.5997e-05, 50000, 49, 18, 5.01e+00, 0.71, 1180.4
512, 20, 1.0094e+04, 0.1, 9.9065e-05, 50000, 49, 18, 5.17e+00, 0.71, 1179.4
768, 10, 1.6004e+04, 0.1, 6.2483e-05, 50000, 49, 24, 3.44e+00, 1.26, 663.7
768, 20, 1.1842e+04, 0.1, 8.4446e-05, 50000, 49, 16, 3.13e+00, 1.25, 668.0
1024, 10, 1.9640e+04, 0.1, 5.0917e-05, 50000, 49, 25, 2.36e+00, 2.02, 412.3
1024, 20, 1.6749e+04, 0.1, 5.9706e-05, 50000, 49, 19, 2.52e+00, 2.04, 409.1
1536, 10, 2.8266e+04, 0.1, 3.5379e-05, 50000, 53, 30, 1.66e+00, 4.39, 190.0
1536, 20, 2.3515e+04, 0.1, 4.2527e-05, 50000, 50, 25, 1.55e+00, 4.34, 191.8
256, 15, 1.2200e+04, 0.1, 8.1964e-05, 100000, 48, 15, 2.74e+01, 1.29, 1289.5
384, 15, 1.8221e+04, 0.1, 5.4882e-05, 100000, 50, 15, 1.69e+01, 1.30, 1284.0
512, 15, 1.9082e+04, 0.1, 5.2404e-05, 100000, 49, 14, 1.08e+01, 1.53, 1091.3
768, 15, 2.6306e+04, 0.1, 3.8014e-05, 100000, 49, 15, 6.98e+00, 2.59, 643.5
1024, 15, 3.2848e+04, 0.1, 3.0444e-05, 100000, 49, 17, 4.94e+00, 4.20, 396.6
1536, 15, 4.9691e+04, 0.1, 2.0124e-05, 100000, 49, 21, 3.11e+00, 8.95, 186.3
2048, 15, 7.1202e+04, 0.1, 1.4045e-05, 100000, 49, 24, 2.45e+00, 15.62, 106.7
3072, 15, 1.2431e+05, 0.1, 8.0442e-06, 100000, 50, 26, 1.65e+00, 39.08, 42.6
